state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Maryland,1.1620571092023155,0.9023124151223441,0.8379024540149786,0.9932438353401617,1.0583104476528986,0.46209322772753575,0.4063348200434044,0.6316734672054083,1.780572568819071,1.0199236469751316,0.6815016923886069,0.8515248324973987,0.6544292156803062,0.5267991397215246,0.5595664218339255,0.7686881337942023,1.0597584467592251,0.9194057014010353,1.029275421951035,0.6745623064269829,0.0,0.46121986928874625,0.4669411921820325,0.4138414616273722,1.508414135975963,0.660294341074965,1.1473152717777866,0.9244632899562315,1.4034794732340348,0.9382653652195343,0.3589014020530477,1.0178354426210814,0.6055714532238572,0.5734838644615192,1.310920472547667,0.5960411325831706,1.096479724074389,0.4229542669866887,0.4877217689426663,0.7024019383798085,0.8365449426994148,1.4818720803172416,0.862603694240071,1.8013317799814328,0.8042901480629814,1.0609245108855594,0.5588784014784868,0.6228147651523048,1.096156420136079,0.4806403820412866,1.5779424550809336
Massachusetts,1.0321921081225747,1.1115511284067576,0.716472453271101,0.8835926583894533,1.1172900656382612,0.4929060200830152,0.560094123218686,0.9064978056089343,1.5636699749668337,0.8474783669302408,0.7943300617388862,1.1840790974268185,0.5830874721236039,0.5175418895979526,0.5012735067847405,0.8672234894029558,0.9198227499282795,0.8086334361367091,0.8832674173940939,0.6881995854897116,0.46121986928874625,0.0,0.41115115003368796,0.6239595357397056,1.4625310656864525,0.6852781841371065,1.1440104288075197,1.0805343789449386,1.1523499162771058,0.8307640962958044,0.2793845933678134,0.9154205895458025,0.6250472374885635,0.7789582609355125,1.319837362545723,0.5394075207566912,1.0607283848011873,0.5832045132421101,0.5071461236198445,0.6890219150497378,0.7683303992706415,1.5638443801590822,0.7422294373864555,1.7802191059067798,0.9484171358381294,1.08972286275427,0.5763505354704054,0.9086746506333412,0.9475063216918286,0.5551108235120611,1.6029870751842763
Michigan,1.0088718612792567,0.9267272661623526,0.7836827390210438,0.6606898885297036,0.9966706763250945,0.48050162121243906,0.5478806795385501,0.7736331271342151,1.6440566563922205,0.8760666294962466,0.7301883047660127,1.076528111378961,0.6021116028340242,0.5201829101502643,0.4008854673099831,0.6689349195668023,0.9246607940450966,0.5580565397794811,0.8109509162258448,0.5357003356910124,0.4669411921820325,0.41115115003368796,0.0,0.46172811729205937,1.2945260760246002,0.5322664272949382,0.9945404201794786,0.9106313768081378,1.299260070884361,0.899659367287637,0.40088836192287586,0.8366064782019714,0.4948234439232537,0.5986962084060604,1.19630834157126,0.4179446838438994,0.996367064700914,0.4717367848556637,0.28449092442919927,0.6900014165301287,0.7430423583796494,1.3918126160835278,0.6700276022049999,1.6113111481901132,0.8853550632010013,0.9077393624001403,0.6392594453141226,0.7467527823148523,0.7219365135817197,0.478894958718378,1.4408644137703548
Minnesota,1.1375538046117017,0.7840475492587774,1.0591273514162676,0.9252949022347235,1.2150578265623815,0.5158209571091597,0.5817279598447419,0.6826025691745798,1.8218711112245953,1.1350886773945479,0.7456499023003755,0.8576933937365533,0.6131236407992469,0.597776610443435,0.5259337271998108,0.3977035490670132,0.9289579240578176,0.7895028753032642,1.0516145132482693,0.4277815397489501,0.4138414616273722,0.6239595357397056,0.46172811729205937,0.0,1.3697315924255618,0.5082725852532993,0.8488569203926398,0.6337557675642329,1.5219925302852786,0.8249606752264094,0.5595928289577459,1.1107229401871306,0.6912044603096612,0.6215690764261402,1.0206518923725747,0.5525514223875488,1.0674168784477416,0.5752888921755537,0.439234353971283,0.8984074414819523,0.9152324090575286,1.1969091514468921,0.8406224917353294,1.6185481875517778,0.8000156142880359,0.819948235729951,0.5981151619944628,0.6723295238407967,0.9301373800772277,0.40632437369541485,1.2959831972535338
Mississippi,0.6861331390929882,1.2339407334119352,1.3147525498540242,0.8324551109592137,1.5768415505066122,1.3826241012950025,1.5201086129171104,1.6408776745364735,1.8573174175965528,1.1910665460244965,1.0427246052280335,1.6760305769656152,1.2400099096234738,1.330575431806892,1.0275841103164418,1.1570127235719774,0.8019622494373378,0.9793236093835068,0.7618227234906024,1.3680392376093442,1.508414135975963,1.4625310656864525,1.2945260760246002,1.3697315924255618,0.0,0.9769895568853779,1.2717365553950946,1.1504646515943935,1.4671260710711875,1.6002269114150842,1.3700105672403478,1.0886747590653674,1.3570248753894243,1.1351343673762593,1.4803380455593675,1.2544880906009999,0.7619951538374994,1.4211779727724052,1.3112979249081496,1.4752007452915787,0.9760424323024828,1.330244667871922,0.8679679503072992,1.3624126702439945,1.4587058193574525,1.630844999677268,1.276024234678632,1.4991970446053084,1.0534394628731982,1.4115475474658032,1.0818830627825229
Missouri,0.754256537033417,0.6829833536750191,0.8658119675084347,0.5974570707407577,1.168564191384879,0.639255074028183,0.693378198119046,0.8387981985731396,1.5734517190344257,0.8116237822398937,0.4639465050380515,0.9725509374623038,0.6158348790533763,0.49555127479587346,0.26904098699305395,0.5332992818271453,0.5763867610591613,0.5550763601286696,0.6542261580728989,0.6481360178640873,0.660294341074965,0.6852781841371065,0.5322664272949382,0.5082725852532993,0.9769895568853779,0.0,0.8467745725969527,0.5162367961883387,1.2085918917805076,1.0168729635780118,0.5753516669081342,0.91642005689813,0.6969848185162181,0.5501910511163484,1.018993437852728,0.46048512683964443,0.6188620520160123,0.7089842600135101,0.44742520656764967,0.989709927962457,0.5848305645674238,1.0196269160339897,0.42058899287081863,1.4194401661010754,0.8015946521877699,1.0954616154181567,0.5658744562956177,0.8092664824525694,0.6837648941335623,0.6799104611206587,1.2017019642038604
Montana,1.3418231852674813,1.205566882915056,1.4694548501969011,1.056385223877161,1.7255095007165755,1.1715041648342144,1.2570022749535463,1.4265140436386878,1.9368432127698791,1.5028700106962989,1.106949103597908,1.546497212447316,0.9235363379916456,1.0851105794851765,0.9154699392714222,0.7057934769319332,0.974902977703749,0.9418081638638318,1.2902217150468391,0.5984114876112075,1.1473152717777866,1.1440104288075197,0.9945404201794786,0.8488569203926398,1.2717365553950946,0.8467745725969527,0.0,0.7773499210765611,1.7562491941600469,0.7838694507524353,1.1024362332245259,1.3605046071982805,1.2373755133240798,1.1918699993750572,0.5501810618530184,0.990686038562548,1.1796960039538316,1.221908259970707,1.0124955483976035,1.3054435522969472,1.31024467511643,0.8979590549890172,1.117163722571536,1.3355538839487595,1.3948234111685087,0.7561136331374548,1.0227266727608677,1.4143660079396634,1.0316780237248044,0.7951447786188441,1.3029122704517098
Nebraska,1.1394157480343734,0.7672003948164976,1.337648223379003,0.9882168476702299,1.5182061436786818,0.9899232383828723,0.9938973389672625,0.9703708241510411,1.8028397936584188,1.2856667130181931,0.7994537931224557,0.9759992609955194,0.9704874584532709,0.8651368388130458,0.7499956214370167,0.5512865020954901,0.8639429408791064,0.9133057122926382,1.0901022965434464,0.8008982334014567,0.9244632899562315,1.0805343789449386,0.9106313768081378,0.6337557675642329,1.1504646515943935,0.5162367961883387,0.7773499210765611,0.0,1.6552716939681653,1.1771750694677456,0.9469986087904991,1.36700052393984,1.0394093316340183,0.8802038713524335,0.7869694463429969,0.8288496261591787,0.9503936078940525,1.0574338234728022,0.7667046720385278,1.2997835962602657,1.0505165832532533,0.6394851386203418,0.8966169719141739,1.5393282919805655,1.006104328341273,1.1706176961102623,0.869736384403597,1.0146531105120762,0.963447129442973,0.8939015412544158,1.1995926976298659
Nevada,0.9146016346567617,1.4605838621027156,0.7916013388737545,1.1209467651139002,1.5741299314106352,1.2376671222215136,1.2486750487959941,1.572863955888989,1.5197258853779543,0.7837556238178546,1.15751639655684,1.7413263500591387,1.1041016311557408,1.113239302256768,1.0803679812964408,1.5829613720350697,1.0708447356985116,1.184838735996542,0.9350737992000384,1.5111957497093447,1.4034794732340348,1.1523499162771058,1.299260070884361,1.5219925302852786,1.4671260710711875,1.2085918917805076,1.7562491941600469,1.6552716939681653,0.0,1.6352585821552061,1.2330895745382808,0.9582236613666104,1.3588507174413404,1.2754118006618023,2.0141003096853116,1.1760802897441271,0.9240334662229641,1.2556532485873626,1.3586337653943472,1.5501160086856296,0.7965027006246139,2.0283692386497005,0.8740532264255757,1.8218905034553856,1.3754647388391523,1.8720836579055702,1.2607192064338646,1.5095052420674153,1.282061447782773,1.517390303767722,1.8495518818158538
New Hampshire,1.3790024074557257,1.3529709362275142,1.3357590986563306,1.2457726887341805,1.6023083843700574,0.9084252309374158,1.1557603911308127,1.4111027820219766,2.0495324362282226,1.4403234939702363,1.1772547133479139,1.5564367917873694,0.709302660588521,1.0680785053152562,0.9253919060601222,0.869197656929336,1.0535043939773547,1.148451451701205,1.3670654725804043,0.6093789963220163,0.9382653652195343,0.8307640962958044,0.899659367287637,0.8249606752264094,1.6002269114150842,1.0168729635780118,0.7838694507524353,1.1771750694677456,1.6352585821552061,0.0,0.8972281321876272,1.2694948425225276,1.1985434368820855,1.2030092273597017,1.080735480630507,1.0418297079361694,1.3620097302871743,1.0636139101084272,1.0111610438270473,1.0153144203820017,1.2876011708472286,1.5316477119960914,1.1813489592430324,1.5865083572309715,1.2804921681546242,0.7156145398828535,0.7939145073836763,1.3380140679615973,1.2846635644861821,0.5301540655158749,1.5127200819017095
