model,mitjana_MAE,mitjana_MSE,mitjana_R2,millor_MAE,millor_MSE,millor_R2,pitjor_MAE,pitjor_MSE,pitjor_R2
deathIncrease_cluster1,27.137484088828142,916.1355222332209,-5.4766392166096365,18.24096318401986,478.2786218107379,-0.5167920731359321,42.592474218311395,1856.1201283546277,-14.034246152800968
deathIncrease_cluster10,47.77536007266893,2812.7901047558876,-54.58146174418264,27.7270247055114,1500.3923373110742,0.19342595141807306,65.5758313618437,4391.67707969388,-330.1466807161897
deathIncrease_cluster11,123.98717586815695,18646.03297046507,-198.1423910012486,55.471285540535696,3655.8748093166832,0.24388879935624908,177.396648303303,31731.796500635704,-566.0525268166117
deathIncrease_cluster12,12.695371198161807,210.7472987060346,-3.610055724500802,11.369993223574697,171.53289330387,0.00010566596602057388,14.020749172748916,249.96170410819923,-7.220217114967625
deathIncrease_cluster13,13.994271309101402,228.82732720051416,-1.464294292928614,13.994271309101402,228.82732720051416,-1.464294292928614,13.994271309101402,228.82732720051416,-1.464294292928614
deathIncrease_cluster14,17.79073934407707,457.57200651258796,-0.4239910247937151,14.49921094227206,339.3217850548808,0.2782267985896354,22.058916498698665,684.0257632092844,-0.929384204308942
deathIncrease_cluster15,11.008760888506412,151.89503662903033,-40.25961835972602,8.994544883976813,89.35463493157205,-0.4381790963588752,13.022976893036011,214.43543832648862,-80.08105762309316
deathIncrease_cluster16,6.306789913891756,67.76565710301084,-0.5038674278498113,4.438863656290313,33.327474096855845,0.0006390495660748563,7.721999588755173,120.0456847806956,-0.7675338216348078
deathIncrease_cluster17,16.64938682140494,326.3985583986773,-19.54642000727395,11.45123167439192,162.4660338201473,-0.04913490474264859,21.84754196841796,490.3310829772073,-39.04370510980525
deathIncrease_cluster18,16.125542287794946,334.669894827697,-18.283345918460373,12.791424934250253,202.8066060480607,0.09072904043428887,19.703654990585527,411.99252743424324,-59.218996390249686
deathIncrease_cluster19,10.138163480033736,132.27471879440583,-2.1275900168368507,7.992997810138019,77.61996522978416,-1.3582760416046207,12.283329149929452,186.92947235902747,-2.896903992069081
deathIncrease_cluster2,10.306895678103578,110.33809172628662,-11.176951564387487,10.306895678103578,110.33809172628662,-11.176951564387487,10.306895678103578,110.33809172628662,-11.176951564387487
deathIncrease_cluster20,1.729979074606695,3.661098085707495,-4.276288417637273,1.729979074606695,3.661098085707495,-4.276288417637273,1.729979074606695,3.661098085707495,-4.276288417637273
deathIncrease_cluster21,32.96977607112275,2084.202230736171,-9.788282678049091,16.436542868424464,329.7782683266499,0.09242717781603971,53.054856972701224,4996.280995594353,-29.03556718960194
deathIncrease_cluster22,140.1257585623331,24748.21746687928,-69.31787144546189,103.38453840275504,10830.942482550183,-0.1937613762209187,176.86697872191115,38665.492451208374,-138.44198151470286
deathIncrease_cluster23,87.66462142292161,17790.765109358203,-0.38131873395027704,87.66462142292161,17790.765109358203,-0.38131873395027704,87.66462142292161,17790.765109358203,-0.38131873395027704
deathIncrease_cluster3,74.25387788315993,5776.167388241128,-41.56123338703989,74.25387788315993,5776.167388241128,-41.56123338703989,74.25387788315993,5776.167388241128,-41.56123338703989
