model,mitjana_MAE,mitjana_MSE,mitjana_R2,millor_MAE,millor_MSE,millor_R2,pitjor_MAE,pitjor_MSE,pitjor_R2
deathIncrease_cluster1,2.0651787275922326,6.1857939446958055,-2.8909124520146428,1.585240712989115,4.3043133997115,-0.40607571057242375,2.5451167421953502,8.067274489680111,-5.375749193456862
deathIncrease_cluster10,13.115652841772244,229.5625832850665,-0.5181334832473147,10.974875260055555,135.47643888704266,-0.2920096351625323,15.256430423488933,323.6487276830903,-0.744257331332097
deathIncrease_cluster11,19.16045310734307,532.4545929661848,0.09509631470554729,15.646413320498954,387.95736449888904,0.4047125051529541,23.083370680988775,754.3065088084,-0.3099312068192368
deathIncrease_cluster12,7.859813381784637,85.87554164948722,-2.6340649411664985,5.012683575872047,35.074606998653984,-0.7609177693996365,9.977498290855365,146.4325948196529,-6.058596685404356
deathIncrease_cluster13,1.9956249640036907,4.663615576219777,-5.72109303631674,1.9956249640036907,4.663615576219777,-5.72109303631674,1.9956249640036907,4.663615576219777,-5.72109303631674
deathIncrease_cluster14,1.3260783100744313,2.3616199486890013,-4.20897549314961,1.2699007847523325,2.3389745744160764,0.31779908246197774,1.38225583539653,2.3842653229619257,-8.735750068761197
deathIncrease_cluster15,3.3724520800758713,25.989553867335594,0.2320673157987866,2.6060506557248666,19.824246153259455,0.29155206048148585,4.138853504426876,32.15486158141174,0.17258257111608732
deathIncrease_cluster16,22.111525895488175,650.6417497734493,-3.0889385403221357,12.391059158416097,244.17972774163113,-0.2092992378552585,38.294044174566125,1512.5296768596124,-8.390554453712626
deathIncrease_cluster17,31.861742620276566,1393.301917683576,-122.62079374542928,18.82920188935159,585.3760630886419,-3.3132973069689404,44.89428335120154,2201.22777227851,-241.92829018388963
deathIncrease_cluster18,7.652192946323236,76.5775885742745,-4.907143918764335,4.323020557273801,21.517759216355678,0.24611628172833167,9.553739849937722,112.40560093250632,-18.525374103730154
deathIncrease_cluster19,6.881180839548733,87.79686235507661,-1.4824963535181925,3.161175596250011,11.875821758411195,-0.2679394721345354,8.837637995161904,166.95398926963315,-3.4267927626304386
deathIncrease_cluster2,49.516467905597324,3561.206412407369,0.6064823306107311,49.516467905597324,3561.206412407369,0.6064823306107311,49.516467905597324,3561.206412407369,0.6064823306107311
deathIncrease_cluster20,56.06000110751067,7041.86075027363,-0.5678477653464475,26.794184457179686,1222.0430499383438,0.3430596879102704,94.68407043658577,19599.911772481864,-2.0057507096528275
deathIncrease_cluster21,104.22217532896988,23849.262823114324,-40.30265841172042,76.39578346548913,6317.004660924691,-0.277616249265886,132.04856719245063,41381.520985303956,-80.32770057417495
deathIncrease_cluster22,12.732814464165978,234.5891331114871,0.33612821345765864,8.632777655536483,92.2839082211282,0.5718697687147054,15.844002715571516,378.9266468410281,-0.06881220902661633
deathIncrease_cluster3,1.7914887521778426,7.578242803120211,0.48852080254422836,1.7914887521778426,7.578242803120211,0.48852080254422836,1.7914887521778426,7.578242803120211,0.48852080254422836
deathIncrease_cluster4,1.7651110414069038,5.016542911534562,-1.3635634871653224,1.7651110414069038,5.016542911534562,-1.3635634871653224,1.7651110414069038,5.016542911534562,-1.3635634871653224
deathIncrease_cluster5,133.77581754491274,21200.064207138494,-3.384615676809835,133.77581754491274,21200.064207138494,-3.384615676809835,133.77581754491274,21200.064207138494,-3.384615676809835
deathIncrease_cluster6,6.440768802801807,58.7274915080957,-0.04947012541819462,6.440768802801807,58.7274915080957,-0.04947012541819462,6.440768802801807,58.7274915080957,-0.04947012541819462
deathIncrease_cluster7,5.590738862430966,39.19660358844926,0.7715163483423728,5.590738862430966,39.19660358844926,0.7715163483423728,5.590738862430966,39.19660358844926,0.7715163483423728
deathIncrease_cluster8,19.117294892434142,520.8711632061528,-10.421731586519792,13.21232383017348,228.6068527938574,-5.908630515490521,30.037910872731253,1069.850782684532,-17.669559644831683
